"SG2","SG1","STRESS","","","STRES, Mpa","C1","C2"
"2161","2352","46.657986111111","","","14.302112703634","3127.28625","1424.34125"
"2235","2430","47.960069444444","","","14.763471177945","2868.3175","1401.2249999999"
"2304","2505","49.479166666667","","","15.224829652256","1973.3187499999","1541.8675"
"2374","2580","50.78125","","","15.686188126566","1656.7562499999","1645.4675"
"2441","2654","52.083333333333","","","16.147546600877","1434.3549999999","1313.855"
"2512","2726","53.385416666667","","","16.608905075188","1685.3387499999","1122.135"
"2580","2801","54.6875","","","17.070263549499","2867.14625","1624.4725"
"2652","2877","55.989583333333","","","17.53162202381","4106.80625","1219.065"
"2719","2950","57.291666666667","","","17.99298049812","3328.6312499999","1587.08875"
"2786","3022","58.59375","","","18.454338972431","1680.3162499999","1652.0562499999"
"2858","3099","59.895833333333","","","18.915697446742","1532.0962499999","1635.45"
"2922","3168","61.197916666667","","","19.377055921053","1657.00125","1431.2075"
"2989","3242","62.5","","","19.838414395363","1670.545","1277.33625"
"3057","3313","63.802083333333","","","20.299772869674","1508.89875","2019.9425"
"3124","3386","65.104166666667","","","20.761131343985","1452.3874999999","2321.91625"
"3192","3460","66.40625","","","21.222489818296","1713.9437499999","2213.33875"
"3257","3529","67.491319444444","","","21.683848292606","1794.58","1868.3449999999"
"3328","3607","68.793402777778","","","22.145206766917","2373.43875","1617.0662500001"
"3390","3674","70.095486111111","","","22.606565241228","1967.50875","1830.1875"
"3459","3749","71.397569444444","","","23.067923715539","1872.52125","2124.26375"
"3521","3815","72.699652777778","","","23.52928218985","2076.0987499999","1721.4012500001"
"3586","3888","74.001736111111","","","23.99064066416","2079.445","1664.60875"
"3652","3955","75.086805555556","","","24.451999138471","2279.0149999999","1949.01875"
"3720","4031","76.388888888889","","","24.913357612782","2176.9937499999","2146.15875"
"3785","4101","77.690972222222","","","25.374716087093","1882.6612499999","2235.50625"
"3850","4170","78.993055555556","","","25.836074561403","1493.98625","2578.7712499999"
"3913","4240","80.295138888889","","","26.297433035714","2205.3874999999","2271.55"
"3978","4314","81.380208333333","","","26.758791510025","2323.40375","2558.80375"
"4040","4381","82.682291666667","","","27.220149984336","2128.2525","2386.81375"
"4107","4456","83.984375","","","27.681508458647","2260.2162500001","2418.3174999999"
"4170","4527","85.286458333333","","","28.142866932957","2149.85","2376.8124999999"
"4232","4594","86.588541666667","","","28.604225407268","2071.31625","2126.565"
"4297","4666","87.673611111111","","","29.065583881579","2062.54125","2408.685"
"4363","4739","88.975694444444","","","29.52694235589","1923.535","2224.03375"
"4427","4808","90.277777777778","","","29.988300830201","2232.985","1838.42"
"4494","4881","91.579861111111","","","30.449659304511","2124.49125","1964.6600000001"
"4564","4955","92.881944444444","","","30.911017778822","2366.22625","2475.9425"
"4624","5023","93.967013888889","","","31.372376253133","2351.2424999999","2455.9262500001"
"4694","5096","95.269097222222","","","31.833734727444","2220.4","2079.75875"
"4754","5165","96.354166666667","","","32.295093201754","2245.6475","2627.88125"
